"CDACRB","ACCIRB","ACGSRB","ANNORB","MIDERB","FLA2RB","CNGRRB","FLA4RB","TSMDRB","CDMGMRB","ASCCMRB","PRRARB","UMACRB","NGFTRB","LMIRRB","QNCORB","TSUPRB","RIGAMRB","TSINRB","PDAARB","PRIDRB","PROGRB","QTLTRB","TPSTRB","NRRIRB","DSMDRB","IDSDRB","CDPRRB","TPMORB","NSRGMRB","DTMORB","CONTRB","ERRORB","CDARRB","GRADRB","IDRGRB","ISOTRB","PDAURB","NOTERB","ISOFRB","CAMORB","ARCUMRB","DTDORB","ARRARB","FLA1RB","IDCARB","TPRIRB","NDOCRB","FLA3RB","FLA5RB","TPRORB","TDOCRB","PFISRB","PRFLRB","DTOPMRB","QTKGRB","PRDERB","DERIRB","CDDTMRB","NRCORB","FLUSRB","ANIDRB","STATRB","DTIVRB","UTMDRB","CLASRB","NROPMRB","ITEDRB","ILDARB","STDFRB","DNSARB","LMFRRB","TAABRB","UTINRB","TPRERB","PROTRB","PRSTRB","CDPERB","NDACRB"
"IT00VIB00003C","0.38","0.00","2018","","","DEPOSITO","","2019-09-18 15:27:45.429599","005","","12","","","0.000","2.400","2019-09-30 09:20:56.379144","2","2019-09-18 14:37:18.157000","0","0","63","12.000","C","42","","0","34031980","C","0","20190918","","Calcolo eseguito con successo","JR_OL_COMBCOND1","2.00","0","","0","","IT","109","","20190918","2019","","","","993 2","","","H","VIA","002","76","20190918","15.000","","","01","5","182N0930.CAB","0","R","20210326","WRKJEXP","04","993","0.00","","","0.8921","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","13.25","0.00","2018","","","DEPOSITO","","2019-09-18 14:30:42.275444","005","","12","","","0.000","1.000","2019-09-30 09:20:56.379144","3","2019-09-18 14:37:18.316000","0","0","65","10.000","C","23","","0","E45027101921","C","0","20190918","","Calcolo eseguito con successo","JR_OL_COMBCOND2","53.00","0","","0","","IT","109","","20190918","2019","","","","993 3","","","O","VIA","002","74","20190918","15.000","","","01","10","182N0930.CAB","0","R","20210326","WRKJEXP","01","993","0.00","","","0.9500","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","0.50","0.00","2018","","","DEPOSITO","","2019-09-24 12:03:32.977920","005","","12","","","0.000","1.000","2019-09-30 09:20:56.379144","4","2019-09-18 14:37:18.436000","0","0","67","10.000","C","99","","0","E48027101221","C","0","20190918","","Calcolo eseguito con successo","JR_OL_COMBCOND3","2.00","0","","0","J","IT","109","","20190918","2019","","","","993 4","","","O","VIA","002","92","20190918","20.000","","","01","10","182N0930.CAB","0","R","20210326","WRKJEXP","01","993","0.00","","","0.0000","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","0.16","0.00","2018","","","DEPOSITO","","2019-09-18 15:28:07.724757","005","","12","","","0.000","0.000","2019-09-30 09:20:56.379144","5","2019-09-18 14:37:18.565000","0","0","69","10.000","S","43","","0","34031980","C","0","20190918","","Calcolo eseguito con successo","JR_OL_MISCACC1","1.00","0","","0","","IT","109","","20190918","2019","","","","993 5","","","H","VIA","002","78","20190918","10.000","","","01","0","182N0930.CAB","0","R","20210326","WRKJEXP","04","993","0.00","","","0.9500","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","0.50","0.00","2018","0124545645","","DEPOSITO","","2019-09-24 11:19:48.448525","005","","12","","","0.000","2.000","2019-09-30 09:20:56.379144","10","2019-09-18 14:37:18.669000","0","0","71","10.000","C","86","GFGFGH","0","34031980","S","0","20190918","","","JR_OL_COMBCIND4","2.00","0","","0","","IT","016","","20190918","2019","","","","994 10","","","O","XAB","003","109","20190918","15.000","IT","","01","5","182N0930.CAB","0","R","20210326","WRKJEXP","","994","0.00","","","0.0000","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","0.38","0.00","2018","065656","","DEPOSITO","","2019-09-19 17:43:01.794142","005","","12","","","0.000","2.400","2019-09-30 09:20:56.379144","9","2019-09-18 14:37:18.768000","0","0","73","12.000","C","80","56","0","E44027102017  S137","S","0","20190918","","","JR_OL_COMBCOND1","2.00","0","","0","jr","IT","016","","20190918","2019","","","","994 9","","","H","XAB","003","101","20190918","15.000","IT","","01","5","182N0930.CAB","0","R","20210326","WRKJEXP","","994","0.00","","","0.8921","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","13.25","0.00","2018","23223526","","DEPOSITO","","2019-09-19 17:43:03.425759","005","","12","","","0.000","1.000","2019-09-30 09:20:56.379144","8","2019-09-18 14:37:18.874000","0","0","75","10.000","C","81","gvhvg","0","E45027101921","S","0","20190918","","","JR_OL_COMBCOND2","53.00","0","","0","jr","IT","016","","20190918","2019","","","","994 8","","","O","XAB","003","103","20190918","15.000","IT","","01","10","182N0930.CAB","0","R","20210326","WRKJEXP","","994","0.00","","","0.9500","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","0.50","0.00","2018","1011233123","","DEPOSITO","","2019-09-19 17:43:04.794160","005","","12","","","0.000","1.000","2019-09-30 09:20:56.379144","7","2019-09-18 14:37:18.977000","0","0","77","10.000","C","82","hkh","0","E48027101221","S","0","20190918","","","JR_OL_COMBCOND3","2.00","0","","0","jr","IT","016","","20190918","2019","","","","994 7","","","O","XAB","003","105","20190918","20.000","IT","","01","10","182N0930.CAB","0","R","20210326","WRKJEXP","","994","0.00","","","0.9500","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","0.16","0.00","2018","014121212","","DEPOSITO","","2019-09-19 17:43:06.057253","005","","12","","","0.000","0.000","2019-09-30 09:20:56.379144","6","2019-09-18 14:37:19.084000","0","0","79","10.000","S","83","ghhg","0","E43027101947  S131","S","0","20190918","","","JR_OL_MISCACC1","1.00","0","","0","jr","IT","016","","20190918","2019","","","","994 6","","","H","XAB","003","107","20190918","10.000","IT","","01","0","182N0930.CAB","0","R","20210326","WRKJEXP","","994","0.00","","","0.9500","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","0.00","0.00","2018","GB00001641387","","TRASPORTO","","2019-09-19 17:43:11.089920","","","12","","","0.000","0.000","2019-09-30 09:20:56.379144","1","2019-09-18 14:51:44.174000","0","0","81","8695.652","S","61","LONDON CITY BOND LTD - AVELEY","0","E20015091020","S","0","20190822","","Calcolo eseguito con successo","AV_OLIOLUB","35.00","0","GB","1","jr","IT","016","JROL789","20190822","2019","","","","JROL789","","","B","DAA","002","22","20190816","10.000","GB","","01","0","182N0930.CAB","0","R","20190822","WRKJEXP","06","99992","10.00","PROIT00VIB00003C0008","","0.0012","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","0.00","0.00","2018","GB00001641387","","DEPOSITO","","2019-09-18 14:45:08.129846","005","","12","","S","0.000","0.000","2019-09-30 09:20:56.379144","1","2019-09-18 14:51:44.174000","0","0","81","8695.652","S","61","LONDON CITY BOND LTD - AVELEY","0","E20015091020","S","0","20190822","","Calcolo eseguito con successo","AV_OLIOLUB","35.00","0","","1","","IT","016","JROL789","20190822","2019","","","","JROL789","","","B","DAA","002","22","20190816","10.000","GB","S","01","0","182N0930.CAB","0","R","20210326","WRKJEXP","09","99992","0.00","PROIT00VIB00003C0008","","0.0012","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","0.00","0.00","2018","GB00001641387","","TRASPORTO","","2019-09-19 17:43:13.206859","","","12","","","0.000","0.000","2019-09-30 09:20:56.379144","2","2019-09-18 14:51:44.370000","0","0","83","6666.667","S","62","LONDON CITY BOND LTD - AVELEY","0","E20015091020","S","0","20190822","","Calcolo eseguito con successo","AV_OLIOLUB","35.00","0","GB","2","jr","IT","016","JROL789","20190822","2019","","","","JROL789","","","B","DAA","002","24","20190816","10.000","GB","","01","0","182N0930.CAB","0","R","20190822","WRKJEXP","06","99992","10.00","PROIT00VIB00003C0008","","0.0015","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","0.00","0.00","2018","GB00001641387","","DEPOSITO","","2019-09-18 14:45:08.340292","005","","12","","S","0.000","0.000","2019-09-30 09:20:56.379144","2","2019-09-18 14:51:44.370000","0","0","83","6666.667","S","62","LONDON CITY BOND LTD - AVELEY","0","E20015091020","S","0","20190822","","Calcolo eseguito con successo","AV_OLIOLUB","35.00","0","","2","","IT","016","JROL789","20190822","2019","","","","JROL789","","","B","DAA","002","24","20190816","10.000","GB","S","01","0","182N0930.CAB","0","R","20210326","WRKJEXP","09","99992","0.00","PROIT00VIB00003C0008","","0.0015","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","0.00","0.00","2018","GB00001641387","","TRASPORTO","","2019-09-19 17:43:14.610040","","","12","","","0.000","0.000","2019-09-30 09:20:56.379144","3","2019-09-18 14:51:44.461000","0","0","85","751.880","S","63","LONDON CITY BOND LTD - AVELEY","0","E20015091020","S","0","20190822","","Calcolo eseguito con successo","AV_OLIOLUB","35.00","0","GB","3","jr","IT","016","JROL789","20190822","2019","","","","JROL789","","","B","DAA","002","26","20190816","10.000","GB","","01","0","182N0930.CAB","0","R","20190822","WRKJEXP","06","99992","10.00","PROIT00VIB00003C0008","","0.0133","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","0.00","0.00","2018","GB00001641387","","DEPOSITO","","2019-09-18 14:45:08.433295","005","","12","","S","0.000","0.000","2019-09-30 09:20:56.379144","3","2019-09-18 14:51:44.461000","0","0","85","751.880","S","63","LONDON CITY BOND LTD - AVELEY","0","E20015091020","S","0","20190822","","Calcolo eseguito con successo","AV_OLIOLUB","35.00","0","","3","","IT","016","JROL789","20190822","2019","","","","JROL789","","","B","DAA","002","26","20190816","10.000","GB","S","01","0","182N0930.CAB","0","R","20210326","WRKJEXP","09","99992","0.00","PROIT00VIB00003C0008","","0.0133","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIO00017A","0.00","-1.22","2021","04507990150","","DEPOSITO","","2021-04-22 12:35:20.195730","001","","","L","","0.000","2.000","2021-10-07 08:53:16.758341","4","2021-04-22 12:41:06.272000","0","0","46","100.000","C","9","cisco","0","E43027101947","C","0","20210422","","Calcolo eseguito con successo","CG_OL","48.57","19","","0",".","IT","107","","20210422","0","","","","15 4","","","Z","XA","001","93","20210422","100.000","IT","","01","50","182N1007.CAD","0","T","20200210","WRKJEXP","01","15","1.22","","","0.2300","0.000","","WRKJEXP","M","M/123456","0","",""
"IT00VIO00017A","0.00","-8.12","2021","04507990150","","*CONSUMO*","","2021-04-22 12:34:37.993185","001","","10","L","S","0.000","2.000","2015-01-01 00:00:00.000000","4","2021-04-22 12:41:06.272000","0","0","46","100.000","C","9","cisco","0","E43027101947","C","0","20210422","","Calcolo eseguito con successo","CG_OL","48.57","19","","0",".","IT","107","","20210422","2023","","","","15 4","","","Z","XA","001","4","20210422","100.000","IT","S","01","50","182N1127.CAH","0","T","20200210","WRKJEXP","01","15","-8.12","","","0.2300","0.000","","WRKJEXP","M","M/123456","0","",""
"IT00VIB00003C","0.50","0.00","2018","","","DEPOSITO","","2019-10-01 10:02:32.270537","005","","12","","","0.000","2.000","2019-10-01 17:21:26.728731","1","2019-09-18 14:37:17.978000","0","0","61","10.000","C","100","","0","27101987","C","0","20190918","","Calcolo eseguito con successo","JR_OL_COMBCIND4","2.00","0","","0","DFFF","IT","109","","20190918","2019","","","","993 1","","","O","VIA","002","3","20190918","15.000","","","01","5","182N1001.CAI","0","R","20210326","WRKJEXP","01","993","0.00","","","0.0000","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIO00017A","0.00","1.86","2022","IT00VIO00017A","","DEPOSITO","","2022-09-27 10:36:00.124744","001","","","L","S","0.000","0.000","2022-11-28 16:42:44.644227","1","2022-09-27 10:41:49.258000","1","0","74","111.364","S","58","BERGOIL OLIMDA","3","E43027101946","S","0","20220927","","Calcolo eseguito con successo","JR_OL_GESTITOKG","48.57","19","","1","","IT","016","22ITVIO00017A00057583","20220927","0","","","","22ITVIO00017A00057583","","","Z","EAD","002","5","20200604","98.000","IT","S","01","0","182N1128.CAB","0","S","20200210","WRKJEXP","01","99991","1.86","PROIT00VIO00017A0087","S","0.8800","0.000","","WRKJEXP","M","M-PROVA","13","",""
"IT00VIO00017A","0.00","0.00","2022","IT00VIO00017A","","IT00VIO00017A0001","","2022-09-27 10:36:00.449113","","","","L","","0.000","0.000","2022-11-28 16:42:44.624199","1","2022-09-27 10:41:49.258000","1","0","75","115.909","S","57","BERGOIL OLIMDA","3","E43027101946","S","0","20220927","","Calcolo eseguito con successo","JR_OL_GESTITOKG","48.57","19","IT","1","","IT","016","22ITVIO00017A00057583","20220927","0","","","","22ITVIO00017A00057583","","","Z","EAD","004","4","20200604","102.000","IT","","01","0","182N1128.CAB","0","S","20200210","WRKJEXP","01","99991","0.00","PROIT00VIO00017A0087","S","0.8800","0.000","","WRKJEXP","M","M-PROVA","14","",""
"IT00VIO00017A","0.00","0.00","2022","IT00VIO00017A","","DEPOSITO","","2022-09-27 10:36:00.455668","","","","L","S","0.000","0.000","2022-11-28 16:42:44.624199","1","2022-09-27 10:41:49.258000","1","0","75","115.909","S","57","BERGOIL OLIMDA","3","E43027101946","S","0","20220927","","Calcolo eseguito con successo","JR_OL_GESTITOKG","48.57","19","IT","1","","IT","016","22ITVIO00017A00057583","20220927","0","","","","22ITVIO00017A00057583","","","Z","EAD","004","4","20200604","102.000","IT","S","01","0","182N1128.CAB","0","S","20200210","WRKJEXP","01","99991","0.00","PROIT00VIO00017A0087","S","0.8800","0.000","","WRKJEXP","M","M-PROVA","14","",""
"JR13463565878","0.00","0.00","2020","","","","","2020-08-04 17:01:19.475351","","","","","","0.000","0.000","","0","2020-08-04 17:01:19.475250","0","0","3","0.000","S","2","","0","27079911","S","0","20200804","","","","0.00","0","","0","","","052","","20200804","0","","","","12","","","","VIA","009","0","0","30.000","","","","0","","0","","0","WRKJEXP","","0","0.00","","","0.0000","0.000","","WRKJEXP","M","123456","0","",""
"ITJROLIMDC123","0.00","0.00","2020","","","","","2020-08-04 17:05:19.831622","","","","","","0.000","0.000","","0","2020-08-04 17:05:19.831486","0","0","103","0.000","S","35","","0","15200000","S","0","20200804","","","","0.00","0","","0","","","050","","20200804","0","","","","56","","","","VIA","006","0","0","3.000","","","","0","","0","","0","WRKJEXP","","0","0.00","","","0.5656","0.000","","WRKJEXP","M","JR2020/M","0","",""
"IT00VIB00003C","0.58","-0.58","2018","IT00TOO00315S","","TRASPORTO","","2019-09-19 16:52:09.965595","","","12","L","","0.000","2.250","2019-09-30 09:20:56.379144","2","2019-09-19 16:58:46.774000","0","0","131","18.000","C","92","EXEL ITALIA S.R.L.","0","E44027102017  S137","S","0","20190919","","Calcolo eseguito con successo","JR_OL_COMBCOND1","2.00","14","IT","2","","IT","016","56","20190919","2019","","","","56","","","H","DAA","002","138","20190919","16.058","IT","","01","8","182N0930.CAB","0","R","20190822","WRKJEXP","04","99982","0.00","PROIT00VIB00003C000F","","0.8921","0.000","","WRKJEXP","M","A17935","0","",""
"IT00VIB00003C","0.58","0.00","2018","IT00TOO00315S","","DEPOSITO","","2019-09-19 16:52:09.977454","005","","12","","S","0.000","2.250","2019-09-30 09:20:56.379144","2","2019-09-19 16:58:46.774000","0","0","131","18.000","C","92","EXEL ITALIA S.R.L.","0","E44027102017  S137","S","0","20190919","","Calcolo eseguito con successo","JR_OL_COMBCOND1","2.00","0","","2","","IT","016","56","20190919","2019","","","","56","","","H","DAA","002","138","20190919","16.058","IT","S","01","8","182N0930.CAB","0","R","20210326","WRKJEXP","04","99982","0.00","PROIT00VIB00003C000F","","0.8921","0.000","","WRKJEXP","M","A17935","0","",""
